1976 Standard Atmosphere in SI Units


Column 1 = Altitude [m] 
Column 2 = Temperature [Kelvin] 
Column 3 = Pressure [pascal] 
Column 4 = Density [kg/m3] 
Column 5 = Speed of sound [m/s] 


Col1 Col2   Col3        Col4   Col5
---- ----   ----        ----   ----
26700 223.35 1934.1481 0.0302 299.5974 
26800 223.45 1904.7953 0.0297 299.6645 
26900 223.55 1875.9009 0.0292 299.7315 
27000 223.65 1847.4574 0.0288 299.7985 
27100 223.75 1819.4576 0.0283 299.8656 
27200 223.85 1791.8944 0.0279 299.9326 
27300 223.95 1764.7608 0.0275 299.9995 
27400 224.05 1738.0498 0.027 300.0665 
27500 224.15 1711.7549 0.0266 300.1335 
27600 224.25 1685.8692 0.0262 300.2004 
27700 224.35 1660.3862 0.0258 300.2673 
27800 224.45 1635.2995 0.0254 300.3343 
27900 224.55 1610.6028 0.025 300.4012 
28000 224.65 1586.2898 0.0246 300.468 
28100 224.75 1562.3544 0.0242 300.5349 
28200 224.85 1538.7906 0.0238 300.6018 
28300 224.95 1515.5924 0.0235 300.6686 
28400 225.05 1492.754 0.0231 300.7354 
28500 225.15 1470.2697 0.0227 300.8022 
28600 225.25 1448.1338 0.0224 300.869 
28700 225.35 1426.3408 0.022 300.9358 
28800 225.45 1404.8852 0.0217 301.0026 
28900 225.55 1383.7616 0.0214 301.0693 
29000 225.65 1362.9648 0.021 301.136 
29100 225.75 1342.4896 0.0207 301.2028 
29200 225.85 1322.3308 0.0204 301.2695 
29300 225.95 1302.4835 0.0201 301.3362 
29400 226.05 1282.9426 0.0198 301.4028 
29500 226.15 1263.7033 0.0195 301.4695 
29600 226.25 1244.7609 0.0192 301.5361 
29700 226.35 1226.1106 0.0189 301.6028 
29800 226.45 1207.7478 0.0186 301.6694 
29900 226.55 1189.6679 0.0183 301.736 
30000 226.65 1171.8665 0.018 301.8026 
30100 226.75 1154.3391 0.0177 301.8691 
30200 226.85 1137.0815 0.0175 301.9357 
30300 226.95 1120.0892 0.0172 302.0022 
30400 227.05 1103.3583 0.0169 302.0688 
30500 227.15 1086.8844 0.0167 302.1353 
30600 227.25 1070.6636 0.0164 302.2018 
30700 227.35 1054.6918 0.0162 302.2683 
30800 227.45 1038.9652 0.0159 302.3347 
30900 227.55 1023.4799 0.0157 302.4012 
31000 227.65 1008.232 0.0154 302.4676 
31100 227.75 993.2178 0.0152 302.534 
31200 227.85 978.4336 0.015 302.6005 
31300 227.95 963.8758 0.0147 302.6669 
31400 228.05 949.5409 0.0145 302.7332 
31500 228.15 935.4254 0.0143 302.7996 
31600 228.25 921.5257 0.0141 302.866 
31700 228.35 907.8385 0.0138 302.9323 
31800 228.45 894.3604 0.0136 302.9986 
31900 228.55 881.0882 0.0134 303.0649 
32000 228.65 868.0187 0.0132 303.1312 
32100 228.93 855.1536 0.013 303.3168 
32200 229.21 842.4946 0.0128 303.5022 
32300 229.49 830.0381 0.0126 303.6875 
32400 229.77 817.7806 0.0124 303.8727 
32500 230.05 805.7187 0.0122 304.0578 
32600 230.33 793.8491 0.012 304.2428 
32700 230.61 782.1685 0.0118 304.4277 
32800 230.89 770.6735 0.0116 304.6124 
32900 231.17 759.3612 0.0114 304.7971 
33000 231.45 748.2282 0.0113 304.9816 
33100 231.73 737.2717 0.0111 305.166 
33200 232.01 726.4885 0.0109 305.3503 
33300 232.29 715.8758 0.0107 305.5345 
33400 232.57 705.4306 0.0106 305.7186 
33500 232.85 695.1501 0.0104 305.9026 
33600 233.13 685.0315 0.0102 306.0865 
33700 233.41 675.0721 0.0101 306.2702 
33800 233.69 665.2692 0.0099 306.4539 
33900 233.97 655.6201 0.0098 306.6374 
34000 234.25 646.1222 0.0096 306.8208 
34100 234.53 636.7731 0.0095 307.0042 
34200 234.81 627.5701 0.0093 307.1874 
34300 235.09 618.5108 0.0092 307.3705 
34400 235.37 609.5929 0.009 307.5535 
34500 235.65 600.814 0.0089 307.7363 
34600 235.93 592.1716 0.0087 307.9191 
34700 236.21 583.6637 0.0086 308.1018 
34800 236.49 575.2878 0.0085 308.2843 
34900 236.77 567.0418 0.0083 308.4668 
35000 237.05 558.9235 0.0082 308.6491 
35100 237.33 550.9309 0.0081 308.8314 
35200 237.61 543.0618 0.008 309.0135 
35300 237.89 535.3141 0.0078 309.1955 
35400 238.17 527.6859 0.0077 309.3774 
35500 238.45 520.1752 0.0076 309.5592 
35600 238.73 512.7799 0.0075 309.7409 
35700 239.01 505.4984 0.0074 309.9225 
35800 239.29 498.3285 0.0073 310.104 
35900 239.57 491.2686 0.0071 310.2854 
36000 239.85 484.3167 0.007 310.4666 
36100 240.13 477.4712 0.0069 310.6478 
36200 240.41 470.7302 0.0068 310.8289 
36300 240.69 464.0921 0.0067 311.0098 
36400 240.97 457.5552 0.0066 311.1907 
36500 241.25 451.1177 0.0065 311.3714 
36600 241.53 444.7781 0.0064 311.552 
36700 241.81 438.5349 0.0063 311.7326 
36800 242.09 432.3863 0.0062 311.913 
36900 242.37 426.3309 0.0061 312.0933 
37000 242.65 420.3671 0.006 312.2736 
37100 242.93 414.4935 0.0059 312.4537 
37200 243.21 408.7086 0.0059 312.6337 
37300 243.49 403.0109 0.0058 312.8136 
37400 243.77 397.3991 0.0057 312.9934 
37500 244.05 391.8718 0.0056 313.1731 
37600 244.33 386.4275 0.0055 313.3527 
37700 244.61 381.065 0.0054 313.5322 
37800 244.89 375.7829 0.0053 313.7116 
37900 245.17 370.5799 0.0053 313.8909 
38000 245.45 365.4547 0.0052 314.0701 
38100 245.73 360.4062 0.0051 314.2492 
38200 246.01 355.4331 0.005 314.4282 
38300 246.29 350.5341 0.005 314.6071 
38400 246.57 345.7081 0.0049 314.7858 
38500 246.85 340.9539 0.0048 314.9645 
38600 247.13 336.2703 0.0047 315.1431 
38700 247.41 331.6563 0.0047 315.3216 
38800 247.69 327.1107 0.0046 315.5 
38900 247.97 322.6325 0.0045 315.6782 
39000 248.25 318.2205 0.0045 315.8564 
39100 248.53 313.8737 0.0044 316.0345 
39200 248.81 309.591 0.0043 316.2125 
39300 249.09 305.3716 0.0043 316.3903 
39400 249.37 301.2142 0.0042 316.5681 
39500 249.65 297.1181 0.0041 316.7458 
39600 249.93 293.0821 0.0041 316.9234 
39700 250.21 289.1054 0.004 317.1008 
39800 250.49 285.187 0.004 317.2782 
39900 250.77 281.3261 0.0039 317.4555 
40000 251.05 277.5216 0.0039 317.6327 
40100 251.33 273.7727 0.0038 317.8098 
40200 251.61 270.0785 0.0037 317.9867 
40300 251.89 266.4382 0.0037 318.1636 
40400 252.17 262.851 0.0036 318.3404 
40500 252.45 259.3159 0.0036 318.5171 
40600 252.73 255.8322 0.0035 318.6937 
40700 253.01 252.3991 0.0035 318.8702 
40800 253.29 249.0158 0.0034 319.0466 
40900 253.57 245.6815 0.0034 319.2229 
41000 253.85 242.3955 0.0033 319.3991 
41100 254.13 239.1569 0.0033 319.5752 
41200 254.41 235.9652 0.0032 319.7512 
41300 254.69 232.8194 0.0032 319.9271 
41400 254.97 229.719 0.0031 320.1029 
41500 255.25 226.6632 0.0031 320.2786 
41600 255.53 223.6514 0.003 320.4542 
41700 255.81 220.6828 0.003 320.6298 
41800 256.09 217.7568 0.003 320.8052 
41900 256.37 214.8727 0.0029 320.9805 
42000 256.65 212.0299 0.0029 321.1557 
42100 256.93 209.2277 0.0028 321.3309 
42200 257.21 206.4656 0.0028 321.5059 
42300 257.49 203.7429 0.0028 321.6809 
42400 257.77 201.059 0.0027 321.8557 
42500 258.05 198.4133 0.0027 322.0305 
42600 258.33 195.8052 0.0026 322.2052 
42700 258.61 193.2342 0.0026 322.3797 
42800 258.89 190.6996 0.0026 322.5542 
42900 259.17 188.201 0.0025 322.7286 
43000 259.45 185.7378 0.0025 322.9029 
43100 259.73 183.3094 0.0025 323.0771 
43200 260.01 180.9154 0.0024 323.2512 
43300 260.29 178.5551 0.0024 323.4252 
43400 260.57 176.2281 0.0024 323.5991 
43500 260.85 173.9339 0.0023 323.7729 
43600 261.13 171.672 0.0023 323.9466 
43700 261.41 169.4418 0.0023 324.1202 
43800 261.69 167.243 0.0022 324.2938 
43900 261.97 165.075 0.0022 324.4672 
44000 262.25 162.9374 0.0022 324.6406 
44100 262.53 160.8297 0.0021 324.8138 
44200 262.81 158.7515 0.0021 324.987 
44300 263.09 156.7023 0.0021 325.1601 
44400 263.37 154.6817 0.002 325.3331 
44500 263.65 152.6892 0.002 325.506 
44600 263.93 150.7245 0.002 325.6788 
44700 264.21 148.7871 0.002 325.8515 
44800 264.49 146.8766 0.0019 326.0241 
44900 264.77 144.9927 0.0019 326.1966 
45000 265.05 143.1348 0.0019 326.369 
45100 265.33 141.3027 0.0019 326.5414 
45200 265.61 139.4959 0.0018 326.7136 
45300 265.89 137.7141 0.0018 326.8858 
45400 266.17 135.957 0.0018 327.0579 
45500 266.45 134.224 0.0018 327.2299 
45600 266.73 132.5149 0.0017 327.4017 
45700 267.01 130.8293 0.0017 327.5735 
45800 267.29 129.1669 0.0017 327.7453 
45900 267.57 127.5274 0.0017 327.9169 
46000 267.85 125.9103 0.0016 328.0884 
46100 268.13 124.3154 0.0016 328.2599 
46200 268.41 122.7423 0.0016 328.4312 
46300 268.69 121.1908 0.0016 328.6025 
46400 268.97 119.6604 0.0015 328.7736 
46500 269.25 118.1509 0.0015 328.9447 
46600 269.53 116.662 0.0015 329.1157 
46700 269.81 115.1934 0.0015 329.2866 
46800 270.09 113.7448 0.0015 329.4574 
46900 270.37 112.3158 0.0014 329.6282 
47000 270.65 110.9063 0.0014 329.7988 
47100 270.65 109.5152 0.0014 329.7988 
47200 270.65 108.1415 0.0014 329.7988 
47300 270.65 106.785 0.0014 329.7988 
47400 270.65 105.4456 0.0014 329.7988 
47500 270.65 104.123 0.0013 329.7988 
47600 270.65 102.8169 0.0013 329.7988 
47700 270.65 101.5272 0.0013 329.7988 
47800 270.65 100.2538 0.0013 329.7988 
47900 270.65 98.9962 0.0013 329.7988 
48000 270.65 97.7545 0.0013 329.7988 
48100 270.65 96.5283 0.0012 329.7988 
48200 270.65 95.3176 0.0012 329.7988 
48300 270.65 94.122 0.0012 329.7988 
48400 270.65 92.9414 0.0012 329.7988 
48500 270.65 91.7756 0.0012 329.7988 
48600 270.65 90.6244 0.0012 329.7988 
48700 270.65 89.4877 0.0012 329.7988 
48800 270.65 88.3652 0.0011 329.7988 
48900 270.65 87.2568 0.0011 329.7988 
49000 270.65 86.1623 0.0011 329.7988 
49100 270.65 85.0815 0.0011 329.7988 
49200 270.65 84.0143 0.0011 329.7988 
49300 270.65 82.9605 0.0011 329.7988 
49400 270.65 81.9199 0.0011 329.7988 
49500 270.65 80.8924 0.001 329.7988 
49600 270.65 79.8777 0.001 329.7988 
49700 270.65 78.8758 0.001 329.7988 
49800 270.65 77.8864 0.001 329.7988 
49900 270.65 76.9095 0.001 329.7988 
50000 270.65 75.9448 0.001 329.7988 
50100 270.65 74.9922 0.001 329.7988 
50200 270.65 74.0515 0.001 329.7988 
50300 270.65 73.1227 0.0009 329.7988 
50400 270.65 72.2055 0.0009 329.7988 
50500 270.65 71.2998 0.0009 329.7988 
50600 270.65 70.4054 0.0009 329.7988 
50700 270.65 69.5223 0.0009 329.7988 
50800 270.65 68.6503 0.0009 329.7988 
50900 270.65 67.7892 0.0009 329.7988 
51000 270.65 66.9389 0.0009 329.7988 
51100 270.37 66.0988 0.0009 329.6282 
